"","Date","JPM"
"685","9/22/2008",33.179581
"686","9/23/2008",32.984398
"687","9/24/2008",32.935612
"688","9/25/2008",35.342747
"689","9/26/2008",39.22998
"690","9/29/2008",33.342224
"691","9/30/2008",37.977604
"692","10/1/2008",40.360355
"693","10/2/2008",40.852058
"694","10/3/2008",37.615017
"695","10/6/2008",36.057983
"696","10/7/2008",32.222713
"697","10/8/2008",32.206329
"698","10/9/2008",30.059237
"699","10/10/2008",34.123955
"700","10/13/2008",34.410774
"701","10/14/2008",33.361828
"702","10/15/2008",31.542526
"703","10/16/2008",33.181541
"704","10/17/2008",32.230919
"705","10/20/2008",33.320847
"706","10/21/2008",32.56691
"707","10/22/2008",30.4608
"708","10/23/2008",31.018047
"709","10/24/2008",29.034868
"710","10/27/2008",27.862974
"711","10/28/2008",30.813181
"712","10/29/2008",29.264322
"713","10/30/2008",30.829575
"714","10/31/2008",33.804356
"715","11/3/2008",33.378204
"716","11/4/2008",34.558292
"717","11/5/2008",32.140766
"718","11/6/2008",31.354048
"719","11/7/2008",30.936106
"720","11/10/2008",29.837969
"721","11/11/2008",29.788813
"722","11/12/2008",28.330099
"723","11/13/2008",30.477177
"724","11/14/2008",28.248154
"725","11/17/2008",26.854992
"726","11/18/2008",26.338709
"727","11/19/2008",23.33115
"728","11/20/2008",19.159897
"729","11/21/2008",18.61903
"730","11/24/2008",22.601793
"731","11/25/2008",24.396505
"732","11/26/2008",25.093071
"733","11/28/2008",25.945353
"734","12/1/2008",21.405331
"735","12/2/2008",23.38032
"736","12/3/2008",24.789862
"737","12/4/2008",25.470043
"738","12/5/2008",27.330305
"739","12/8/2008",29.903543
"740","12/9/2008",27.830202
"741","12/10/2008",27.469624
"742","12/11/2008",24.535818
"743","12/12/2008",25.355314
"744","12/15/2008",23.462271
"745","12/16/2008",26.510805
"746","12/17/2008",26.109255
"747","12/18/2008",24.757078
"748","12/19/2008",24.847221
"749","12/22/2008",24.437475
"750","12/23/2008",23.855631
"751","12/24/2008",24.462059
"752","12/26/2008",24.421083
"753","12/29/2008",24.404694
"754","12/30/2008",25.41268
"755","12/31/2008",25.838818
"756","1/2/2009",26.004719
"757","1/5/2009",24.262774
"758","1/6/2009",24.785357
"759","1/7/2009",23.300554
"760","1/8/2009",22.578896
"761","1/9/2009",21.542027
"762","1/12/2009",20.66276
"763","1/13/2009",21.857237
"764","1/14/2009",21.492262
"765","1/15/2009",20.189945
"766","1/16/2009",18.92911
"767","1/20/2009",15.005591
"768","1/21/2009",18.771505
"769","1/22/2009",19.161369
"770","1/23/2009",20.140175
"771","1/26/2009",20.322666
"772","1/27/2009",20.787182
"773","1/28/2009",22.943874
"774","1/29/2009",21.094091
"775","1/30/2009",21.160461
"776","2/2/2009",20.903316
"777","2/3/2009",19.949396
"778","2/4/2009",19.941097
"779","2/5/2009",20.355846
"780","2/6/2009",22.918991
"781","2/9/2009",22.628672
"782","2/10/2009",20.422203
"783","2/11/2009",21.641565
"784","2/12/2009",21.724516
"785","2/13/2009",20.480274
"786","2/17/2009",17.958605
"787","2/18/2009",17.842472
"788","2/19/2009",17.087629
"789","2/20/2009",16.506981
"790","2/23/2009",16.183481
"791","2/24/2009",17.436014
"792","2/25/2009",18.024958
"793","2/26/2009",19.119902
"794","2/27/2009",18.954
"795","3/2/2009",17.552149
"796","3/3/2009",17.427723
"797","3/4/2009",16.009277
"798","3/5/2009",13.769643
"799","3/6/2009",13.21388
"800","3/9/2009",13.188993
"801","3/10/2009",16.175186
"802","3/11/2009",16.921728
"803","3/12/2009",19.244322
"804","3/13/2009",19.700542
"805","3/16/2009",19.153076
"806","3/17/2009",20.85354
"807","3/18/2009",22.487652
"808","3/19/2009",20.695948
"809","3/20/2009",19.202841
"810","3/23/2009",23.939272
"811","3/24/2009",21.89871
"812","3/25/2009",23.690418
"813","3/26/2009",24.138351
"814","3/27/2009",22.728205
"815","3/30/2009",20.612997
"816","3/31/2009",22.048018
"817","4/1/2009",23.342033
"818","4/2/2009",23.4002
"819","4/3/2009",24.330887
"820","4/6/2009",23.433441
"821","4/7/2009",22.644014
"822","4/8/2009",22.793592
"823","4/9/2009",27.214365
"824","4/13/2009",28.003798
"825","4/14/2009",25.510876
"826","4/15/2009",27.056479
"827","4/16/2009",27.621546
"828","4/17/2009",27.638157
"829","4/20/2009",24.671587
"830","4/21/2009",27.031557
"831","4/22/2009",26.508041
"832","4/23/2009",27.596621
"833","4/24/2009",27.737879
"834","4/27/2009",27.239304
"835","4/28/2009",27.247604
"836","4/29/2009",28.651957
"837","4/30/2009",27.422104
"838","5/1/2009",26.998318
"839","5/4/2009",29.740517
"840","5/5/2009",28.934483
"841","5/6/2009",30.928816
"842","5/7/2009",29.283484
"843","5/8/2009",32.358086
